datetime,symbol,open,high,low,close,volume
2023-04-19 05:30:00,FX_IDC:EURUSD,1.09439,1.09453,1.0925,1.09299,53355.0
2023-04-19 06:00:00,FX_IDC:EURUSD,1.09299,1.09354,1.0926,1.09337,33856.0
2023-04-19 06:30:00,FX_IDC:EURUSD,1.09337,1.09418,1.0932,1.09332,29214.0
2023-04-19 07:00:00,FX_IDC:EURUSD,1.09337,1.09341,1.0918,1.0919,33931.0
2023-04-19 07:30:00,FX_IDC:EURUSD,1.09193,1.09325,1.0916,1.09311,35536.0
2023-04-19 08:00:00,FX_IDC:EURUSD,1.09309,1.09432,1.0926,1.09418,37901.0
2023-04-19 08:30:00,FX_IDC:EURUSD,1.09414,1.09497,1.0937,1.09493,40120.0
2023-04-19 09:00:00,FX_IDC:EURUSD,1.09493,1.09577,1.0946,1.09556,39179.0
2023-04-19 09:30:00,FX_IDC:EURUSD,1.09555,1.09638,1.0951,1.09601,50996.0
2023-04-19 10:00:00,FX_IDC:EURUSD,1.09601,1.09794,1.0959,1.09665,48640.0
2023-04-19 10:30:00,FX_IDC:EURUSD,1.09664,1.0976,1.0956,1.09571,46156.0
2023-04-19 11:00:00,FX_IDC:EURUSD,1.09571,1.09623,1.0952,1.0959,39476.0
2023-04-19 11:30:00,FX_IDC:EURUSD,1.09606,1.09615,1.095,1.09528,30267.0
2023-04-19 12:00:00,FX_IDC:EURUSD,1.0953,1.09577,1.095,1.09546,26629.0
2023-04-19 12:30:00,FX_IDC:EURUSD,1.09546,1.09667,1.0954,1.09658,24976.0
2023-04-19 13:00:00,FX_IDC:EURUSD,1.09655,1.09668,1.0954,1.09568,26575.0
2023-04-19 13:30:00,FX_IDC:EURUSD,1.09566,1.09597,1.0953,1.09558,18215.0
2023-04-19 14:00:00,FX_IDC:EURUSD,1.09558,1.09606,1.0953,1.09579,24935.0
2023-04-19 14:30:00,FX_IDC:EURUSD,1.09584,1.0959,1.095,1.09526,22222.0
2023-04-19 15:00:00,FX_IDC:EURUSD,1.09525,1.09547,1.0951,1.09526,18410.0
2023-04-19 15:30:00,FX_IDC:EURUSD,1.09526,1.09559,1.095,1.09548,16806.0
2023-04-19 16:00:00,FX_IDC:EURUSD,1.09547,1.09552,1.095,1.09548,9268.0
2023-04-19 16:30:00,FX_IDC:EURUSD,1.09544,1.0957,1.09528,1.09533,7947.0
2023-04-19 17:00:00,FX_IDC:EURUSD,1.0954,1.0959,1.09512,1.0957,3488.0
2023-04-19 17:30:00,FX_IDC:EURUSD,1.09559,1.0958,1.09527,1.09549,3247.0
2023-04-19 18:00:00,FX_IDC:EURUSD,1.09539,1.09571,1.09539,1.09556,6430.0
2023-04-19 18:30:00,FX_IDC:EURUSD,1.09552,1.09561,1.095,1.09523,7482.0
2023-04-19 19:00:00,FX_IDC:EURUSD,1.0952,1.0953,1.0947,1.09488,9807.0
2023-04-19 19:30:00,FX_IDC:EURUSD,1.09483,1.09523,1.0946,1.09509,10355.0
2023-04-19 20:00:00,FX_IDC:EURUSD,1.09513,1.09574,1.0949,1.09541,15917.0
2023-04-19 20:30:00,FX_IDC:EURUSD,1.09543,1.09592,1.0951,1.09567,19314.0
2023-04-19 21:00:00,FX_IDC:EURUSD,1.09564,1.09569,1.0948,1.09554,22805.0
2023-04-19 21:30:00,FX_IDC:EURUSD,1.09557,1.09615,1.0953,1.09604,24311.0
2023-04-19 22:00:00,FX_IDC:EURUSD,1.09602,1.0961,1.0954,1.09578,18278.0
2023-04-19 22:30:00,FX_IDC:EURUSD,1.09571,1.09601,1.0951,1.09539,19713.0
2023-04-19 23:00:00,FX_IDC:EURUSD,1.09536,1.09585,1.0952,1.09568,17428.0
2023-04-19 23:30:00,FX_IDC:EURUSD,1.09563,1.09617,1.0955,1.09596,14753.0
2023-04-20 00:00:00,FX_IDC:EURUSD,1.09587,1.09598,1.0955,1.09574,13162.0
2023-04-20 00:30:00,FX_IDC:EURUSD,1.09571,1.09592,1.0954,1.09586,12018.0
2023-04-20 01:00:00,FX_IDC:EURUSD,1.09586,1.09617,1.0954,1.09551,13463.0
2023-04-20 01:30:00,FX_IDC:EURUSD,1.09559,1.09641,1.0954,1.09611,18428.0
2023-04-20 02:00:00,FX_IDC:EURUSD,1.0962,1.09732,1.0959,1.09694,32701.0
2023-04-20 02:30:00,FX_IDC:EURUSD,1.09686,1.09726,1.0965,1.0967,26341.0
2023-04-20 03:00:00,FX_IDC:EURUSD,1.09666,1.09691,1.0949,1.09557,41527.0
2023-04-20 03:30:00,FX_IDC:EURUSD,1.0956,1.09622,1.095,1.09614,40904.0
2023-04-20 04:00:00,FX_IDC:EURUSD,1.09608,1.09779,1.0955,1.09737,41451.0
2023-04-20 04:30:00,FX_IDC:EURUSD,1.09729,1.09784,1.0965,1.09706,35471.0
2023-04-20 05:00:00,FX_IDC:EURUSD,1.09711,1.09733,1.0955,1.09581,35584.0
2023-04-20 05:30:00,FX_IDC:EURUSD,1.09581,1.09667,1.0956,1.09615,28585.0
2023-04-20 06:00:00,FX_IDC:EURUSD,1.09613,1.09666,1.0956,1.0961,25987.0
2023-04-20 06:30:00,FX_IDC:EURUSD,1.09611,1.09784,1.096,1.0971,25984.0
2023-04-20 07:00:00,FX_IDC:EURUSD,1.09707,1.09744,1.0969,1.09709,26990.0
2023-04-20 07:30:00,FX_IDC:EURUSD,1.09708,1.0975,1.09529,1.09547,29468.0
2023-04-20 08:00:00,FX_IDC:EURUSD,1.09545,1.09548,1.0932,1.09402,49219.0
2023-04-20 08:30:00,FX_IDC:EURUSD,1.09407,1.09851,1.09382,1.09775,86734.0
2023-04-20 09:00:00,FX_IDC:EURUSD,1.09774,1.09793,1.0963,1.09655,51572.0
2023-04-20 09:30:00,FX_IDC:EURUSD,1.09655,1.09817,1.09649,1.09712,52282.0
2023-04-20 10:00:00,FX_IDC:EURUSD,1.09711,1.09896,1.097,1.09815,58329.0
2023-04-20 10:30:00,FX_IDC:EURUSD,1.09811,1.09888,1.0971,1.09794,46447.0
2023-04-20 11:00:00,FX_IDC:EURUSD,1.09794,1.09806,1.0964,1.09704,42952.0
2023-04-20 11:30:00,FX_IDC:EURUSD,1.09699,1.09736,1.0966,1.09693,29400.0
2023-04-20 12:00:00,FX_IDC:EURUSD,1.09694,1.0972,1.0962,1.09649,27945.0
2023-04-20 12:30:00,FX_IDC:EURUSD,1.09653,1.09677,1.0962,1.09669,20671.0
2023-04-20 13:00:00,FX_IDC:EURUSD,1.09672,1.09706,1.0964,1.09683,19251.0
2023-04-20 13:30:00,FX_IDC:EURUSD,1.09675,1.09707,1.0962,1.09703,17131.0
2023-04-20 14:00:00,FX_IDC:EURUSD,1.09701,1.09726,1.0963,1.09648,19265.0
2023-04-20 14:30:00,FX_IDC:EURUSD,1.09642,1.09657,1.0957,1.09648,20926.0
2023-04-20 15:00:00,FX_IDC:EURUSD,1.09649,1.09656,1.0955,1.09558,23032.0
2023-04-20 15:30:00,FX_IDC:EURUSD,1.09563,1.09636,1.0955,1.09634,20935.0
2023-04-20 16:00:00,FX_IDC:EURUSD,1.09634,1.09678,1.0962,1.09667,11250.0
2023-04-20 16:30:00,FX_IDC:EURUSD,1.09675,1.0971,1.0965,1.0969,9060.0
2023-04-20 17:00:00,FX_IDC:EURUSD,1.09674,1.09702,1.09634,1.09677,1728.0
2023-04-20 17:30:00,FX_IDC:EURUSD,1.09677,1.09707,1.09651,1.0969,4158.0
2023-04-20 18:00:00,FX_IDC:EURUSD,1.09682,1.0971,1.09654,1.09702,5819.0
2023-04-20 18:30:00,FX_IDC:EURUSD,1.09694,1.0972,1.0966,1.09683,6711.0
2023-04-20 19:00:00,FX_IDC:EURUSD,1.0968,1.09701,1.0965,1.09671,8139.0
2023-04-20 19:30:00,FX_IDC:EURUSD,1.09671,1.09692,1.0965,1.09672,10147.0
