datetime,symbol,high,low,open,close,volume,trend_macd,trend_macd_signal,trend_adx,trend_cci,momentum_rsi,momentum_stoch,momentum_stoch_signal,momentum_uo,momentum_wr,momentum_ao,Prediction
1/21/2024 17:00,FX:EURJPY,161.446,161.386,161.386,161.43,12,0,0,0,0,100,73.33333333,73.33333333,0,-26.66666667,0,BUY
1/21/2024 17:05,FX:EURJPY,161.43,161.375,161.43,161.377,21,-0.00422792,-0.000845584,0,-66.66666667,0,2.816901408,38.07511737,1.739130435,-97.18309859,0,SELL
1/21/2024 17:10,FX:EURJPY,161.393,161.316,161.377,161.316,84,-0.012358309,-0.003148129,0,-100,0,0,25.38341158,1.041666667,-100,0,SELL
1/21/2024 17:15,FX:EURJPY,161.48,161.314,161.316,161.454,301,-0.007578889,-0.004034281,0,59.42733657,57.4182181,84.3373494,29.05141694,39.66480447,-15.6626506,0,BUY
1/21/2024 17:20,FX:EURJPY,161.462,161.401,161.454,161.406,310,-0.00757702,-0.004742829,0,63.8562789,47.25474833,55.42168675,46.58634538,35.08353222,-44.57831325,0,SELL
1/21/2024 17:25,FX:EURJPY,161.407,161.33,161.406,161.336,44,-0.013073253,-0.006408914,0,-81.17647059,36.97575054,13.25301205,51.00401606,30.84677419,-86.74698795,-0.0042,SELL
1/21/2024 17:30,FX:EURJPY,161.444,161.326,161.336,161.402,959,-0.011965479,-0.007520227,0,-3.494176373,48.3775739,53.01204819,40.562249,37.29641694,-46.98795181,-0.006271429,BUY
1/21/2024 17:35,FX:EURJPY,161.431,161.342,161.402,161.388,1002,-0.012078015,-0.008431784,0,-13.08176101,46.45761335,44.57831325,36.94779116,41.20389874,-55.42168675,0.0010125,SELL
1/21/2024 17:40,FX:EURJPY,161.434,161.374,161.388,161.397,292,-0.011310594,-0.009007546,0,29.65324831,47.88938441,50,49.19678715,42.84073126,-50,0.001155556,BUY
1/21/2024 17:45,FX:EURJPY,161.411,161.37,161.397,161.378,296,-0.012096112,-0.00962526,0,-19.21296296,45.1447835,38.55421687,44.37751004,44.69598785,-61.44578313,-0.0067,SELL
1/21/2024 17:50,FX:EURJPY,161.423,161.377,161.378,161.415,261,-0.009622133,-0.009624634,0,42.93214463,51.03048894,60.84337349,49.79919679,40.80562957,-39.15662651,-0.000981818,BUY
1/21/2024 17:55,FX:EURJPY,161.439,161.358,161.415,161.421,222,-0.007095543,-0.009118816,0,44.13436693,51.93118491,64.45783133,54.6184739,47.75347169,-35.54216867,0.001358333,BUY
1/21/2024 18:00,FX:EURJPY,161.562,161.398,161.421,161.467,976,-0.001365645,-0.007568182,0,224.7055359,58.26853051,61.69354839,62.3315844,49.44339718,-38.30645161,0.013484615,BUY
1/21/2024 18:05,FX:EURJPY,161.507,161.45,161.467,161.46,390,0.00258075,-0.005538395,0,172.782471,57.03622153,58.87096774,61.67411582,45.37722384,-41.12903226,0.022857143,SELL
1/21/2024 18:10,FX:EURJPY,161.464,161.414,161.46,161.423,546,0.002691678,-0.003892381,0,66.67795845,50.90767889,43.9516129,54.83870968,43.4605839,-56.0483871,0.0304,SELL
1/21/2024 18:15,FX:EURJPY,161.427,161.349,161.423,161.353,739,-0.002836133,-0.003681131,0,-74.38274682,41.76454261,15.72580645,39.51612903,39.97411942,-84.27419355,0.0293,SELL
1/21/2024 18:20,FX:EURJPY,161.366,161.301,161.353,161.316,495,-0.010086285,-0.004962162,0,-168.7799043,37.89077347,5.747126437,21.80818193,40.11666969,-94.25287356,0.020652941,SELL
1/21/2024 18:25,FX:EURJPY,161.356,161.313,161.316,161.315,665,-0.015731432,-0.007116016,0,-146.3203463,37.7887567,5.363984674,8.945639188,33.95402752,-94.63601533,-0.004633333,SELL
1/21/2024 18:30,FX:EURJPY,161.342,161.3,161.315,161.342,749,-0.017821147,-0.009257042,0,-130.8475958,42.30545708,16.03053435,9.047215154,34.48124302,-83.96946565,-0.032010526,BUY
1/21/2024 18:35,FX:EURJPY,161.391,161.329,161.342,161.382,663,-0.016064415,-0.010618517,0,-49.89858012,48.29465608,31.29770992,17.56407632,38.41996646,-68.70229008,-0.04605,BUY
1/21/2024 18:40,FX:EURJPY,161.399,161.357,161.382,161.377,650,-0.014903847,-0.011475583,0,-25.22991497,47.62907517,29.38931298,25.57251908,40.05115065,-70.61068702,-0.047314286,SELL
