datetime,symbol,open,high,low,close,volume,HighArrow,LowArrow,UTC,GMT
2024-07-22 01:45:00,FX:EURUSD,1.08874,1.08874,1.08801,1.08807,2326.0,,,2024-07-22 06:45:00,2024-07-22 08:45:00
2024-07-22 01:30:00,FX:EURUSD,1.08832,1.08902,1.08819,1.08874,3368.0,,,2024-07-22 06:30:00,2024-07-22 08:30:00
2024-07-22 01:15:00,FX:EURUSD,1.0887,1.08872,1.08807,1.08832,2598.0,,,2024-07-22 06:15:00,2024-07-22 08:15:00
2024-07-22 01:00:00,FX:EURUSD,1.08846,1.08892,1.08829,1.0887,3404.0,,,2024-07-22 06:00:00,2024-07-22 08:00:00
2024-07-22 00:45:00,FX:EURUSD,1.08831,1.08851,1.08824,1.08846,1412.0,,,2024-07-22 05:45:00,2024-07-22 07:45:00
2024-07-22 00:30:00,FX:EURUSD,1.08851,1.08863,1.08829,1.08831,1414.0,,,2024-07-22 05:30:00,2024-07-22 07:30:00
2024-07-22 00:15:00,FX:EURUSD,1.0885,1.08857,1.08837,1.08851,1173.0,,,2024-07-22 05:15:00,2024-07-22 07:15:00
2024-07-22 00:00:00,FX:EURUSD,1.08875,1.08876,1.08845,1.0885,1294.0,,,2024-07-22 05:00:00,2024-07-22 07:00:00
2024-07-21 23:45:00,FX:EURUSD,1.08897,1.08899,1.08869,1.08875,898.0,,,2024-07-22 04:45:00,2024-07-22 06:45:00
2024-07-21 23:30:00,FX:EURUSD,1.08912,1.08913,1.08887,1.08897,901.0,,,2024-07-22 04:30:00,2024-07-22 06:30:00
2024-07-21 23:15:00,FX:EURUSD,1.08904,1.08917,1.08902,1.08912,1292.0,,,2024-07-22 04:15:00,2024-07-22 06:15:00
2024-07-21 23:00:00,FX:EURUSD,1.08916,1.08927,1.08892,1.08904,1532.0,,,2024-07-22 04:00:00,2024-07-22 06:00:00
2024-07-21 22:45:00,FX:EURUSD,1.08925,1.08925,1.08907,1.08916,1088.0,,,2024-07-22 03:45:00,2024-07-22 05:45:00
2024-07-21 22:30:00,FX:EURUSD,1.08926,1.08938,1.08915,1.08925,733.0,,,2024-07-22 03:30:00,2024-07-22 05:30:00
2024-07-21 22:15:00,FX:EURUSD,1.08926,1.08934,1.08921,1.08926,1435.0,,,2024-07-22 03:15:00,2024-07-22 05:15:00
2024-07-21 22:00:00,FX:EURUSD,1.08928,1.08938,1.08916,1.08926,1611.0,,,2024-07-22 03:00:00,2024-07-22 05:00:00
2024-07-21 21:45:00,FX:EURUSD,1.08907,1.08952,1.08907,1.08928,1607.0,,,2024-07-22 02:45:00,2024-07-22 04:45:00
2024-07-21 21:30:00,FX:EURUSD,1.08896,1.08909,1.08887,1.08907,1709.0,,,2024-07-22 02:30:00,2024-07-22 04:30:00
2024-07-21 21:15:00,FX:EURUSD,1.08875,1.08898,1.08858,1.08896,1668.0,,,2024-07-22 02:15:00,2024-07-22 04:15:00
