,datetime,symbol,open,high,low,close,volume,UTC,GMT,hhb1,llb1,hhb,llb,atr,b1,b2,b3,b4,SuperSignalV3,SuperSignalV2,BinaryArrow,ATR,Stochastic,CCI,Momentum_60,Momentum_4,WPR,Force,Bollinger_Upper,Bollinger_Lower,MA_High,MA_Median,MA_Low,Market_Condition,ExtremeBUYSELL,ExtremeBinarySignal,tm_buffer,up_buffer,dn_buffer,up_arrow,dn_arrow,TMSignal
0,2024-06-23 16:00:00,FX:EURUSD,1.06798,1.06871,1.06798,1.06871,18.0,2024-06-23 21:00:00,2024-06-23 23:00:00,,,,,0.0,,,,,0,0,0,0.0,,,,,,,,,1.06871,1.08816,1.08806,,0,,1.06889,0.0,0.0,,,
1,2024-06-23 16:05:00,FX:EURUSD,1.06871,1.06897,1.06871,1.0689,132.0,2024-06-23 21:05:00,2024-06-23 23:05:00,,,,,0.0,,,,,0,0,0,0.0,,,,,,,,,1.06897,1.088265,1.08806,,0,,1.0689,0.0,0.0,,,
2,2024-06-23 16:10:00,FX:EURUSD,1.0689,1.06896,1.06888,1.06892,33.0,2024-06-23 21:10:00,2024-06-23 23:10:00,,,,,0.0,,,,,0,0,0,0.0,,,,,,,,,1.06896,1.088425,1.08837,,0,,1.06891,0.0,0.0,,,
3,2024-06-23 16:15:00,FX:EURUSD,1.06892,1.06911,1.06892,1.06894,86.0,2024-06-23 21:15:00,2024-06-23 23:15:00,,,,,0.0,,,,,0,0,0,0.0,,,,,,,,,1.06911,1.0883850000000002,1.08833,,0,,1.06892,0.0,0.0,,,
4,2024-06-23 16:20:00,FX:EURUSD,1.06894,1.06895,1.06861,1.06893,180.0,2024-06-23 21:20:00,2024-06-23 23:20:00,,,,,0.0,,,,,0,0,0,0.00031999999999996474,,,,0.02058556577555061,,,,,1.06895,1.08844,1.08844,,0,,1.06893,0.0,0.0,,,
5,2024-06-23 16:25:00,FX:EURUSD,1.06893,1.0691,1.0686,1.06894,316.0,2024-06-23 21:25:00,2024-06-23 23:25:00,,,,,0.0,,,,,0,0,0,0.0003559999999999608,,,,0.0037421648423650485,,,,,1.0691,1.0885449999999999,1.08844,,0,,1.06894,0.0,0.0,,,
6,2024-06-23 16:30:00,FX:EURUSD,1.06894,1.06901,1.0689,1.06899,50.0,2024-06-23 21:30:00,2024-06-23 23:30:00,,,,,0.0,,,,,0,0,0,0.00030679999999997954,,,,0.006548665943196356,,,,,1.06901,1.088665,1.08864,,0,,1.06895,0.0,0.0,,,
7,2024-06-23 16:35:00,FX:EURUSD,1.06899,1.06899,1.06892,1.06893,214.0,2024-06-23 21:35:00,2024-06-23 23:35:00,1.0693,1.06798,,,0.0,,,,,0,0,0,0.00025943999999998655,,,,-0.0009355062024122506,,,,,1.06899,1.088665,1.08864,,0,,1.06897,0.0,0.0,,,
8,2024-06-23 16:40:00,FX:EURUSD,1.06893,1.06898,1.06889,1.06889,167.0,2024-06-23 21:40:00,2024-06-23 23:40:00,1.0693,1.0686,,,0.0,,,,,0,0,0,0.00022555200000001833,,,,-0.0037420598168299143,,,,,1.06898,1.088715,1.08864,,0,,1.06898,0.0,0.0,,,
9,2024-06-23 16:45:00,FX:EURUSD,1.06889,1.06893,1.06886,1.06886,76.0,2024-06-23 21:45:00,2024-06-23 23:45:00,1.0693,1.0686,,,0.0,,,,,0,0,0,0.00019444160000001756,,,,-0.00748404961925646,,,,,1.06893,1.088765,1.08866,,0,,1.069,0.0,0.0,,,
